Dates,MaxTemp,MinTemp,Precipitation,Snowfall,Snowdepth,MaxTscore,MinTscore,TotalTscore,SnowFscore,SnowDscore,TotalSscore,AWSSIscore,AccumTscore,AccumSscore,AccumAWSSI
15-Aug-1881,75,51,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Aug-1881,79,49,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Aug-1881,79,58,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Aug-1881,69,61,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Aug-1881,75,60,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Aug-1881,73,63,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Aug-1881,76,60,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Aug-1881,77,62,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Aug-1881,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Aug-1881,80,64,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Aug-1881,83,55,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Aug-1881,88,56,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Aug-1881,87,68,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Aug-1881,92,66,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Aug-1881,93,67,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Aug-1881,93,68,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Aug-1881,90,71,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Sep-1881,84,66,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Sep-1881,81,66,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Sep-1881,82,64,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Sep-1881,82,62,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Sep-1881,95,68,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Sep-1881,95,67,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Sep-1881,92,64,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Sep-1881,87,59,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Sep-1881,78,61,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Sep-1881,86,57,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Sep-1881,68,49,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Sep-1881,75,44,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sep-1881,70,49,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Sep-1881,76,50,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Sep-1881,71,60,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Sep-1881,71,56,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Sep-1881,69,51,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Sep-1881,76,52,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Sep-1881,77,50,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep-1881,82,57,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep-1881,81,53,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Sep-1881,83,62,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep-1881,82,65,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Sep-1881,85,64,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Sep-1881,85,67,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Sep-1881,84,64,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Sep-1881,81,65,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Sep-1881,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Sep-1881,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Sep-1881,80,64,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-1881,66,55,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Oct-1881,70,57,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Oct-1881,74,63,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Oct-1881,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Oct-1881,51,32,0,0,0,0,1,1,0,0,0,1,0,0,0
06-Oct-1881,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Oct-1881,72,46,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Oct-1881,71,58,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Oct-1881,67,49,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Oct-1881,65,37,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Oct-1881,58,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Oct-1881,72,52,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Oct-1881,67,42,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Oct-1881,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Oct-1881,76,50,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Oct-1881,55,46,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Oct-1881,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Oct-1881,62,40,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Oct-1881,52,31,0,0,0,0,1,1,0,0,0,1,0,0,0
20-Oct-1881,45,31,0,0,0,0,1,1,0,0,0,1,0,0,0
21-Oct-1881,57,31,0,0,0,0,1,1,0,0,0,1,0,0,0
22-Oct-1881,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Oct-1881,63,42,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Oct-1881,57,46,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Oct-1881,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Oct-1881,51,33,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Oct-1881,62,34,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Oct-1881,56,43,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Oct-1881,64,53,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Oct-1881,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Oct-1881,49,44,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Nov-1881,55,43,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Nov-1881,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Nov-1881,50,31,0,0,0,0,1,1,0,0,0,1,0,0,0
04-Nov-1881,37,28,0,0,0,0,1,1,0,0,0,1,0,0,0
05-Nov-1881,49,30,0,0,0,0,1,1,0,0,0,1,0,0,0
06-Nov-1881,54,32,0,0,0,0,1,1,0,0,0,1,0,0,0
07-Nov-1881,53,40,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Nov-1881,60,48,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Nov-1881,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Nov-1881,41,29,0,0,0,0,1,1,0,0,0,1,0,0,0
11-Nov-1881,39,30,0,0,0,0,1,1,0,0,0,1,0,0,0
12-Nov-1881,50,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Nov-1881,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Nov-1881,42,26,0,0,0,0,1,1,0,0,0,1,0,0,0
15-Nov-1881,33,25,0,0,0,0,1,1,0,0,0,1,0,0,0
16-Nov-1881,49,28,0,0,0,0,1,1,0,0,0,1,0,0,0
17-Nov-1881,55,41,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Nov-1881,56,31,0,0,0,0,1,1,0,0,0,1,0,0,0
19-Nov-1881,32,22,0,0,0,1,2,3,0,0,0,3,3,0,3
20-Nov-1881,29,17,0,0,0,1,3,4,0,0,0,4,7,0,7
21-Nov-1881,35,23,0,0,0,0,2,2,0,0,0,2,9,0,9
22-Nov-1881,33,21,0,0,0,0,2,2,0,0,0,2,11,0,11
23-Nov-1881,37,19,0,0,0,0,3,3,0,0,0,3,14,0,14
24-Nov-1881,22,14,0,0,0,2,4,6,0,0,0,6,20,0,20
25-Nov-1881,29,13,0,0,0,1,4,5,0,0,0,5,25,0,25
26-Nov-1881,36,27,0,0,0,0,1,1,0,0,0,1,26,0,26
27-Nov-1881,41,27,0,0,0,0,1,1,0,0,0,1,27,0,27
28-Nov-1881,43,27,0,0,0,0,1,1,0,0,0,1,28,0,28
29-Nov-1881,54,36,0,0,0,0,0,0,0,0,0,0,28,0,28
30-Nov-1881,57,44,0,0,0,0,0,0,0,0,0,0,28,0,28
01-Dec-1881,51,31,0,0,0,0,1,1,0,0,0,1,29,0,29
02-Dec-1881,42,30,0,0,0,0,1,1,0,0,0,1,30,0,30
03-Dec-1881,43,31,0,0,0,0,1,1,0,0,0,1,31,0,31
04-Dec-1881,41,30,0,0,0,0,1,1,0,0,0,1,32,0,32
05-Dec-1881,33,28,0,0,0,0,1,1,0,0,0,1,33,0,33
06-Dec-1881,41,29,0,0,0,0,1,1,0,0,0,1,34,0,34
07-Dec-1881,41,23,0,0,0,0,2,2,0,0,0,2,36,0,36
08-Dec-1881,35,20,0,0,0,0,2,2,0,0,0,2,38,0,38
09-Dec-1881,35,20,0,0,0,0,2,2,0,0,0,2,40,0,40
10-Dec-1881,31,13,0,0,0,1,4,5,0,0,0,5,45,0,45
11-Dec-1881,33,19,0,0,0,0,3,3,0,0,0,3,48,0,48
12-Dec-1881,43,26,0,0,0,0,1,1,0,0,0,1,49,0,49
13-Dec-1881,56,40,0,0,0,0,0,0,0,0,0,0,49,0,49
14-Dec-1881,53,24,0,0,0,0,2,2,0,0,0,2,51,0,51
15-Dec-1881,29,21,0,0,0,1,2,3,0,0,0,3,54,0,54
16-Dec-1881,39,21,0,0,0,0,2,2,0,0,0,2,56,0,56
17-Dec-1881,48,28,0,0,0,0,1,1,0,0,0,1,57,0,57
18-Dec-1881,44,30,0,0,0,0,1,1,0,0,0,1,58,0,58
19-Dec-1881,46,28,0,0,0,0,1,1,0,0,0,1,59,0,59
20-Dec-1881,43,37,0,0,0,0,0,0,0,0,0,0,59,0,59
21-Dec-1881,40,35,0,0,0,0,0,0,0,0,0,0,59,0,59
22-Dec-1881,43,37,0,0,0,0,0,0,0,0,0,0,59,0,59
23-Dec-1881,38,24,0,0,0,0,2,2,0,0,0,2,61,0,61
24-Dec-1881,36,20,0,0,0,0,2,2,0,0,0,2,63,0,63
25-Dec-1881,39,25,0,0,0,0,1,1,0,0,0,1,64,0,64
26-Dec-1881,43,32,0,0,0,0,1,1,0,0,0,1,65,0,65
27-Dec-1881,40,30,0,0,0,0,1,1,0,0,0,1,66,0,66
28-Dec-1881,48,37,0,0,0,0,0,0,0,0,0,0,66,0,66
29-Dec-1881,44,27,0,0,0,0,1,1,0,0,0,1,67,0,67
30-Dec-1881,38,21,0,0,0,0,2,2,0,0,0,2,69,0,69
31-Dec-1881,23,18,0,0,0,2,3,5,0,0,0,5,74,0,74
01-Jan-1882,21,8,0,0,0,2,5,7,0,0,0,7,81,0,81
02-Jan-1882,23,3,0,0,0,2,6,8,0,0,0,8,89,0,89
03-Jan-1882,25,9,0,0,0,1,5,6,0,0,0,6,95,0,95
04-Jan-1882,25,1,0,0,0,1,6,7,0,0,0,7,102,0,102
05-Jan-1882,22,9,0,0,0,2,5,7,0,0,0,7,109,0,109
06-Jan-1882,33,19,0,0,0,0,3,3,0,0,0,3,112,0,112
07-Jan-1882,34,30,0,0,0,0,1,1,0,0,0,1,113,0,113
08-Jan-1882,53,32,0,0,0,0,1,1,0,0,0,1,114,0,114
09-Jan-1882,38,24,0,0,0,0,2,2,0,0,0,2,116,0,116
10-Jan-1882,32,22,0,0,0,1,2,3,0,0,0,3,119,0,119
11-Jan-1882,35,27,0,0,0,0,1,1,0,0,0,1,120,0,120
12-Jan-1882,32,17,0,0,0,1,3,4,0,0,0,4,124,0,124
13-Jan-1882,36,26,0,0,0,0,1,1,0,0,0,1,125,0,125
14-Jan-1882,37,12,0,0,0,0,4,4,0,0,0,4,129,0,129
15-Jan-1882,35,13,0,0,0,0,4,4,0,0,0,4,133,0,133
16-Jan-1882,46,15,0,0,0,0,3,3,0,0,0,3,136,0,136
17-Jan-1882,19,6,0,0,0,3,5,8,0,0,0,8,144,0,144
18-Jan-1882,24,1,0,0,0,2,6,8,0,0,0,8,152,0,152
19-Jan-1882,28,17,0,0,0,1,3,4,0,0,0,4,156,0,156
20-Jan-1882,35,16,0,0,0,0,3,3,0,0,0,3,159,0,159
21-Jan-1882,36,31,0,0,0,0,1,1,0,0,0,1,160,0,160
22-Jan-1882,35,8,0,0,0,0,5,5,0,0,0,5,165,0,165
23-Jan-1882,12,1,0,0,0,4,6,10,0,0,0,10,175,0,175
24-Jan-1882,17,-4,0,0,0,3,7,10,0,0,0,10,185,0,185
25-Jan-1882,38,15,0,0,0,0,3,3,0,0,0,3,188,0,188
26-Jan-1882,53,36,0,0,0,0,0,0,0,0,0,0,188,0,188
27-Jan-1882,48,22,0,0,0,0,2,2,0,0,0,2,190,0,190
28-Jan-1882,36,18,0,0,0,0,3,3,0,0,0,3,193,0,193
29-Jan-1882,22,9,0,0,0,2,5,7,0,0,0,7,200,0,200
30-Jan-1882,32,10,0,0,0,1,4,5,0,0,0,5,205,0,205
31-Jan-1882,33,18,0,0,0,0,3,3,0,0,0,3,208,0,208
01-Feb-1882,39,21,0,0,0,0,2,2,0,0,0,2,210,0,210
02-Feb-1882,40,22,0,0,0,0,2,2,0,0,0,2,212,0,212
03-Feb-1882,38,20,0,0,0,0,2,2,0,0,0,2,214,0,214
04-Feb-1882,28,24,0,0,0,1,2,3,0,0,0,3,217,0,217
05-Feb-1882,38,17,0,0,0,0,3,3,0,0,0,3,220,0,220
06-Feb-1882,41,19,0,0,0,0,3,3,0,0,0,3,223,0,223
07-Feb-1882,49,29,0,0,0,0,1,1,0,0,0,1,224,0,224
08-Feb-1882,38,23,0,0,0,0,2,2,0,0,0,2,226,0,226
09-Feb-1882,41,19,0,0,0,0,3,3,0,0,0,3,229,0,229
10-Feb-1882,38,27,0,0,0,0,1,1,0,0,0,1,230,0,230
11-Feb-1882,52,26,0,0,0,0,1,1,0,0,0,1,231,0,231
12-Feb-1882,56,43,0,0,0,0,0,0,0,0,0,0,231,0,231
13-Feb-1882,54,33,0,0,0,0,0,0,0,0,0,0,231,0,231
14-Feb-1882,48,28,0,0,0,0,1,1,0,0,0,1,232,0,232
15-Feb-1882,53,30,0,0,0,0,1,1,0,0,0,1,233,0,233
16-Feb-1882,51,38,0,0,0,0,0,0,0,0,0,0,233,0,233
17-Feb-1882,45,16,0,0,0,0,3,3,0,0,0,3,236,0,236
18-Feb-1882,34,16,0,0,0,0,3,3,0,0,0,3,239,0,239
19-Feb-1882,48,27,0,0,0,0,1,1,0,0,0,1,240,0,240
20-Feb-1882,48,27,0,0,0,0,1,1,0,0,0,1,241,0,241
21-Feb-1882,35,21,0,0,0,0,2,2,0,0,0,2,243,0,243
22-Feb-1882,24,15,0,0,0,2,3,5,0,0,0,5,248,0,248
23-Feb-1882,25,13,0,0,0,1,4,5,0,0,0,5,253,0,253
24-Feb-1882,29,19,0,0,0,1,3,4,0,0,0,4,257,0,257
25-Feb-1882,35,17,0,0,0,0,3,3,0,0,0,3,260,0,260
26-Feb-1882,41,25,0,0,0,0,1,1,0,0,0,1,261,0,261
27-Feb-1882,49,34,0,0,0,0,0,0,0,0,0,0,261,0,261
28-Feb-1882,55,36,0,0,0,0,0,0,0,0,0,0,261,0,261
01-Mar-1882,57,41,0,0,0,0,0,0,0,0,0,0,261,0,261
02-Mar-1882,61,40,0,0,0,0,0,0,0,0,0,0,261,0,261
03-Mar-1882,51,29,0,0,0,0,1,1,0,0,0,1,262,0,262
04-Mar-1882,40,28,0,0,0,0,1,1,0,0,0,1,263,0,263
05-Mar-1882,60,31,0,0,0,0,1,1,0,0,0,1,264,0,264
06-Mar-1882,47,28,0,0,0,0,1,1,0,0,0,1,265,0,265
07-Mar-1882,37,22,0,0,0,0,2,2,0,0,0,2,267,0,267
08-Mar-1882,36,25,0,0,0,0,1,1,0,0,0,1,268,0,268
09-Mar-1882,38,29,0,0,0,0,1,1,0,0,0,1,269,0,269
10-Mar-1882,35,27,0,0,0,0,1,1,0,0,0,1,270,0,270
11-Mar-1882,35,27,0,2,2,0,1,1,3,2,5,6,271,5,276
12-Mar-1882,35,28,0,0,2,0,1,1,0,2,2,3,272,7,279
13-Mar-1882,31,22,0,1,3,1,2,3,2,3,5,8,275,12,287
14-Mar-1882,37,20,0,0,2,0,2,2,0,2,2,4,277,14,291
15-Mar-1882,34,26,0,2,2,0,1,1,3,2,5,6,278,19,297
16-Mar-1882,33,25,0,0,3,0,1,1,0,3,3,4,279,22,301
17-Mar-1882,35,23,0,0,2,0,2,2,0,2,2,4,281,24,305
18-Mar-1882,54,32,0,0,0,0,1,1,0,0,0,1,282,24,306
19-Mar-1882,51,31,0,0,0,0,1,1,0,0,0,1,283,24,307
20-Mar-1882,46,36,0,0,0,0,0,0,0,0,0,0,283,24,307
21-Mar-1882,39,24,0,0,0,0,2,2,0,0,0,2,285,24,309
22-Mar-1882,29,22,0,0,0,1,2,3,0,0,0,3,288,24,312
23-Mar-1882,50,20,0,0,0,0,2,2,0,0,0,2,290,24,314
24-Mar-1882,41,17,0,0,0,0,3,3,0,0,0,3,293,24,317
25-Mar-1882,31,17,0,0,0,1,3,4,0,0,0,4,297,24,321
26-Mar-1882,61,29,0,0,0,0,1,1,0,0,0,1,0,0,321
27-Mar-1882,57,35,0,0,0,0,0,0,0,0,0,0,0,0,321
28-Mar-1882,42,22,0,0,0,0,2,2,0,0,0,2,0,0,321
29-Mar-1882,61,28,0,0,0,0,1,1,0,0,0,1,0,0,321
30-Mar-1882,51,29,0,0,0,0,1,1,0,0,0,1,0,0,321
31-Mar-1882,39,21,0,0,0,0,2,2,0,0,0,2,0,0,321
01-Apr-1882,69,31,0,0,0,0,1,1,0,0,0,1,0,0,321
02-Apr-1882,71,31,0,0,0,0,1,1,0,0,0,1,0,0,321
03-Apr-1882,62,34,0,0,0,0,0,0,0,0,0,0,0,0,321
04-Apr-1882,73,38,0,0,0,0,0,0,0,0,0,0,0,0,321
05-Apr-1882,41,32,0,0,0,0,1,1,0,0,0,1,0,0,321
06-Apr-1882,64,35,0,0,0,0,0,0,0,0,0,0,0,0,321
07-Apr-1882,64,47,0,0,0,0,0,0,0,0,0,0,0,0,321
08-Apr-1882,53,37,0,0,0,0,0,0,0,0,0,0,0,0,321
09-Apr-1882,44,27,0,0,0,0,1,1,0,0,0,1,0,0,321
10-Apr-1882,33,20,0,0,0,0,2,2,0,0,0,2,0,0,321
11-Apr-1882,47,17,0,0,0,0,3,3,0,0,0,3,0,0,321
12-Apr-1882,39,20,0,0,0,0,2,2,0,0,0,2,0,0,321
13-Apr-1882,42,27,0,0,0,0,1,1,0,0,0,1,0,0,321
14-Apr-1882,41,31,0,0,0,0,1,1,0,0,0,1,0,0,321
15-Apr-1882,46,30,0,0,0,0,1,1,0,0,0,1,0,0,321
16-Apr-1882,56,28,0,0,0,0,1,1,0,0,0,1,0,0,321
17-Apr-1882,60,37,0,0,0,0,0,0,0,0,0,0,0,0,321
18-Apr-1882,65,38,0,0,0,0,0,0,0,0,0,0,0,0,321
19-Apr-1882,61,40,0,0,0,0,0,0,0,0,0,0,0,0,321
20-Apr-1882,49,35,0,0,0,0,0,0,0,0,0,0,0,0,321
21-Apr-1882,53,30,0,0,0,0,1,1,0,0,0,1,0,0,321
22-Apr-1882,47,32,0,0,0,0,1,1,0,0,0,1,0,0,321
23-Apr-1882,47,33,0,0,0,0,0,0,0,0,0,0,0,0,321
24-Apr-1882,50,28,0,0,0,0,1,1,0,0,0,1,0,0,321
25-Apr-1882,57,26,0,0,0,0,1,1,0,0,0,1,0,0,321
26-Apr-1882,48,33,0,0,0,0,0,0,0,0,0,0,0,0,321
27-Apr-1882,59,32,0,0,0,0,1,1,0,0,0,1,0,0,321
28-Apr-1882,57,43,0,0,0,0,0,0,0,0,0,0,0,0,321
29-Apr-1882,53,41,0,0,0,0,0,0,0,0,0,0,0,0,321
30-Apr-1882,50,37,0,0,0,0,0,0,0,0,0,0,0,0,321
01-May-1882,58,31,0,0,0,0,1,1,0,0,0,1,0,0,321
02-May-1882,48,27,0,0,0,0,1,1,0,0,0,1,0,0,321
03-May-1882,62,28,0,0,0,0,1,1,0,0,0,1,0,0,321
04-May-1882,61,47,0,0,0,0,0,0,0,0,0,0,0,0,321
05-May-1882,54,38,0,0,0,0,0,0,0,0,0,0,0,0,321
06-May-1882,50,34,0,0,0,0,0,0,0,0,0,0,0,0,321
07-May-1882,61,38,0,0,0,0,0,0,0,0,0,0,0,0,321
08-May-1882,69,38,0,0,0,0,0,0,0,0,0,0,0,0,321
09-May-1882,74,54,0,0,0,0,0,0,0,0,0,0,0,0,321
10-May-1882,62,43,0,0,0,0,0,0,0,0,0,0,0,0,321
11-May-1882,52,43,0,0,0,0,0,0,0,0,0,0,0,0,321
12-May-1882,45,39,0,0,0,0,0,0,0,0,0,0,0,0,321
13-May-1882,45,38,0,0,0,0,0,0,0,0,0,0,0,0,321
14-May-1882,56,41,0,0,0,0,0,0,0,0,0,0,0,0,321
15-May-1882,51,34,0,0,0,0,0,0,0,0,0,0,0,0,321
16-May-1882,60,32,0,0,0,0,1,1,0,0,0,1,0,0,321
17-May-1882,67,41,0,0,0,0,0,0,0,0,0,0,0,0,321
18-May-1882,66,39,0,0,0,0,0,0,0,0,0,0,0,0,321
19-May-1882,69,43,0,0,0,0,0,0,0,0,0,0,0,0,321
20-May-1882,69,46,0,0,0,0,0,0,0,0,0,0,0,0,321
21-May-1882,66,51,0,0,0,0,0,0,0,0,0,0,0,0,321
22-May-1882,56,40,0,0,0,0,0,0,0,0,0,0,0,0,321
23-May-1882,52,38,0,0,0,0,0,0,0,0,0,0,0,0,321
24-May-1882,59,32,0,0,0,0,1,1,0,0,0,1,0,0,321
25-May-1882,65,39,0,0,0,0,0,0,0,0,0,0,0,0,321
26-May-1882,69,43,0,0,0,0,0,0,0,0,0,0,0,0,321
27-May-1882,66,50,0,0,0,0,0,0,0,0,0,0,0,0,321
28-May-1882,58,41,0,0,0,0,0,0,0,0,0,0,0,0,321
29-May-1882,65,40,0,0,0,0,0,0,0,0,0,0,0,0,321
30-May-1882,70,40,0,0,0,0,0,0,0,0,0,0,0,0,321
31-May-1882,68,50,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jun-1882,61,41,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Jun-1882,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jun-1882,69,44,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Jun-1882,51,43,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Jun-1882,66,43,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Jun-1882,76,43,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Jun-1882,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Jun-1882,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Jun-1882,72,52,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Jun-1882,69,52,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Jun-1882,69,45,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Jun-1882,73,40,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jun-1882,77,58,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jun-1882,81,50,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jun-1882,78,64,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jun-1882,79,61,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Jun-1882,76,62,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jun-1882,81,61,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Jun-1882,71,49,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jun-1882,67,44,0,0,0,0,0,0,0,0,0,0,0,0,0
